id,displayName,name,description,objectKind,galoisPath,craftingCategory,tooltipTypeName,action,flags,size.boxSize,size.collidableSize,assetRefs.publicModel,assetRefs.publicIcon,warnings
3814157132212639,Composter,Composter,,decor_or_misc,,Crafting Station,Crafting Station,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":2,""z"":3}",,,,[]
6715259485700099,Floor Plate,Floor Plate,,food_or_tabletop,placeables/quests/plate_floor,Objects,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":0.1,""z"":1}",,/buckets/biomes-static/asset_data/placeables/quests/plate_floor.db06bad73ea310dff447a47600ea8b8d.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/plate_floor.023812804b8f0598ae015a1521d9a7f9.png,"[""very thin/low placeable bounds""]"
4537020877769808,???,???,,decor_or_misc,,Item,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":false,""isCollidable"":false}",,,,,"[""missing boxSize""]"
1534621126189502,Handcraft,Handcraft,,decor_or_misc,,Crafting Station,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}",,,,,"[""missing boxSize""]"
663601322198230,Fence Blueprint,Fence Blueprint,,decor_or_misc,items/blueprint,Blueprints,Blueprint,place,"{""isPlaceable"":false,""isBlueprint"":true,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":5,""y"":1,""z"":1}",,,,[]
7539420629350117,Large Gold Frame,Large Gold Frame,,wall_or_display_decor,placeables/frames/gold_frame_large,Objects,Frame,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":0.1,""y"":4,""z"":4}",,/buckets/biomes-static/asset_data/placeables/frames/gold_frame_large.cecb43258f0fdd78bcb079becf25a6b0.gltf,/buckets/biomes-static/asset_data/icons/placeables/frames/gold_frame_large.34f87a179eb6bc87d281dd3638917edb.png,[]
2874227533596773,Arena Marker,Arena Marker,,decor_or_misc,placeables/minigames/bbox_marker,Minigame,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":1,""z"":1}",,/buckets/biomes-static/asset_data/placeables/minigames/bbox_marker.f496b2589b1d4ce26334c0f1c736e8d2.gltf,/buckets/biomes-static/asset_data/icons/placeables/minigames/bbox_marker.d2071671ae3391bc0d3dd94a75501672.png,[]
2701953047052130,Jumbotron,Jumbotron,,decor_or_misc,,Objects,Jumbotron,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":0.25,""y"":2.8,""z"":4.1}",,,,[]
3058905783180606,Race Checkpoint — Wide,Race Checkpoint — Wide,,decor_or_misc,,Minigame,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":0.05,""z"":2}",,,,"[""very thin/low placeable bounds""]"
4537020877769586,Race Start Plate,Race Start Plate,,food_or_tabletop,,Race,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":2,""z"":2}","{""x"":1,""y"":0.05,""z"":2}",,,"[""very thin/low placeable bounds""]"
1534621126189403,Mucker Ward,Mucker Ward,,actor,placeables/mucker_ward,Item,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":1,""z"":1}",,/buckets/biomes-static/asset_data/placeables/mucker_ward.2d3bb3f1143537c8af5b58967a92d032.gltf,/buckets/biomes-static/asset_data/icons/placeables/mucker_ward.de0421c58f3f89127e14038041d5de7b.png,[]
7539420629350084,Campfire,Campfire,,decor_or_misc,placeables/camping/campfire,Camping,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":1,""z"":1}",,/buckets/biomes-static/asset_data/placeables/camping/campfire.84dc2f5e2a52c8338dad63eba9333946.gltf,/buckets/biomes-static/asset_data/icons/placeables/camping/campfire.ea0b0371c1d0e60abee49b1afa79a41b.png,[]
3085780603082451,Blueprint: Dye-O-Matic,Blueprint: Dye-O-Matic,,decor_or_misc,items/blueprint,Blueprints,Blueprint,place,"{""isPlaceable"":false,""isBlueprint"":true,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":3,""y"":3,""z"":3}",,,,[]
1825420459488331,Lillypad Leap Gold Trophy,Lillypad Leap Gold Trophy,,decor_or_misc,,Objects,Home Decoration,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":1,""z"":1}",,,,[]
1534621126189475,Oak Door,Oak Door,,architecture,placeables/doors/oak_door,Objects,Door,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":0.2,""y"":2,""z"":1}",,/buckets/biomes-static/asset_data/placeables/doors/oak_door.9406b5aae04de693d87992c3547bceb3.gltf,/buckets/biomes-static/asset_data/icons/placeables/doors/oak_door.7f6b19ab096e778e18d4b9a8ad9c4cb9.png,[]
7539420629350123,Large Wood Frame,Large Wood Frame,,wall_or_display_decor,placeables/frames/oak_frame_large,Objects,Frame,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":0.1,""y"":4,""z"":4}",,/buckets/biomes-static/asset_data/placeables/frames/oak_frame_large.f633a31f2b1276e4a9bc2e0ad93e2436.gltf,/buckets/biomes-static/asset_data/icons/placeables/frames/oak_frame_large.1bc433b5b7abfa57419cad95ecad87ad.png,[]
7019151679974512,Mucked Robot,Mucked Robot,,actor,npcs/mucked_robot,Objects,,placeRobot,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":1.5,""z"":1}",,,,[]
8011452722498321,Leaderboard Sign,Leaderboard Sign,,wall_or_display_decor,,Objects,Frame,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":2,""z"":1}",,,,[]
4537020877769775,Thermoblaster,Thermoblaster,,nature_or_resource,placeables/crafting_stations/stone_thermoblaster,Crafting Station,Crafting Station,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":3,""y"":3,""z"":3}",,/buckets/biomes-static/asset_data/placeables/crafting_stations/stone_thermoblaster.eaebdc06413a59d9225b4c6ed0854977.gltf,/buckets/biomes-static/asset_data/icons/placeables/crafting_stations/stone_thermoblaster.60b65fd965a876790faa198017e36e25.png,[]
4313753143202106,Space Age Shelter Frame Blueprint,Space Age Shelter Frame Blueprint,,wall_or_display_decor,items/blueprint,Blueprints,Blueprint,place,"{""isPlaceable"":false,""isBlueprint"":true,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":13,""y"":9,""z"":13}",,,,"[""very large placeable bounds""]"
5213715060937675,Network Tower,Network Tower,,architecture,placeables/comms_tower,Communications,Communications,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":3,""y"":6,""z"":3}",,/buckets/biomes-static/asset_data/placeables/comms_tower.39d243ae2d7c290b34486d0c16913d48.gltf,/buckets/biomes-static/asset_data/icons/placeables/comms_tower.4a45a8d0684e9f6e67da211cb5f047af.png,[]
8865245077834457,Protection Stone,Protection Stone,,nature_or_resource,placeables/runic_stone,Objects,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":1,""z"":1}",,/buckets/biomes-static/asset_data/placeables/runic_stone.b293fa6b00b37171a7823eb997cd03e9.gltf,/buckets/biomes-static/asset_data/icons/placeables/runic_stone.8a1fb0e425bbbd6cdcb2bc22f3fbf2fc.png,[]
1458131254160738,TV,TV,,decor_or_misc,placeables/led_panel,Objects,TV,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":0.1,""y"":1.25,""z"":2}",,/buckets/biomes-static/asset_data/placeables/led_panel.82845dabfeff12e3df562b2cb6afd7d3.gltf,/buckets/biomes-static/asset_data/icons/placeables/led_panel.8c4a3a7b0bd1cde8ca87e7678ef3e557.png,[]
8061067774625657,Farmer's Basket,Farmer's Basket,,storage_or_clutter,,Objects,Container,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":1,""z"":1}",,,,[]
4537020877769802,Silver Door,Silver Door,,architecture,placeables/doors/silver_door,Objects,Door,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":0.2,""y"":2,""z"":1}",,/buckets/biomes-static/asset_data/placeables/doors/silver_door.8a212eaa44cb40e1d21caad274f66913.gltf,/buckets/biomes-static/asset_data/icons/placeables/doors/silver_door.684566ef5408196e98ccab3fa9c83ded.png,[]
1485695172010242,Kitchen,Kitchen,,decor_or_misc,placeables/crafting_stations/oak_kitchen,Crafting Station,Crafting Station,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":1,""z"":4}",,/buckets/biomes-static/asset_data/placeables/crafting_stations/oak_kitchen.56c6cd0455a1b5e6142a4a084b8e9fc0.gltf,/buckets/biomes-static/asset_data/icons/placeables/crafting_stations/oak_kitchen.0b81f7e7283acf6c7de87df12bddd67a.png,[]
5165478204705300,Blueprint: Seed Mill,Blueprint: Seed Mill,,decor_or_misc,items/blueprint,Blueprints,Blueprint,place,"{""isPlaceable"":false,""isBlueprint"":true,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":3,""z"":1}",,,,[]
1534621126189463,Small Silver Frame,Small Silver Frame,,wall_or_display_decor,placeables/frames/silver_frame_small,Objects,Frame,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":0.1,""y"":1,""z"":1}",,/buckets/biomes-static/asset_data/placeables/frames/silver_frame_small.6e6357bba5154c3c0c7979c32170d31a.gltf,/buckets/biomes-static/asset_data/icons/placeables/frames/silver_frame_small.afa2525e7c0baaceb33789eaec4d8956.png,[]
567816707675895,Biomes Bot,Biomes Bot,,actor,npcs/helping_robot,Objects,,placeRobot,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":1.5,""z"":1}",,,,[]
1465022233627440,Contribution Request Sheet,Contribution Request Sheet,,wall_or_display_decor,,Objects,Wall Decoration,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":0.1,""y"":1,""z"":1}",,,,[]
7539420629350132,Rubber Door,Rubber Door,,architecture,placeables/doors/rubber_door,Objects,Door,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":0.2,""y"":2,""z"":1}",,/buckets/biomes-static/asset_data/placeables/doors/rubber_door.f9177be101e932bff6161c0c42be9cd7.gltf,/buckets/biomes-static/asset_data/icons/placeables/doors/rubber_door.df6391d7f9953a67fd538fa80f961f0c.png,[]
1534621126189418,Wood Sign,Wood Sign,,wall_or_display_decor,placeables/signs/small_oak_sign,Objects,Frame,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":2,""z"":1}",,/buckets/biomes-static/asset_data/placeables/signs/small_oak_sign.52a76aba1232f248e99b18bb98025d7e.gltf,/buckets/biomes-static/asset_data/icons/placeables/signs/small_oak_sign.0fd8db60d154df27f656a56e593ad2b0.png,[]
4349586236408326,Fish Wanted Board,Fish Wanted Board,,food_or_tabletop,,Objects,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":3,""z"":6}",,,,[]
4537020877769580,Deathmatch Enter,Deathmatch Enter,,decor_or_misc,placeables/minigames/deathmatch_enter,Minigame,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":2,""z"":1}",,/buckets/biomes-static/asset_data/placeables/minigames/deathmatch_enter.0d9dd3266268404c294cfb1fc26d7ba9.gltf,/buckets/biomes-static/asset_data/icons/placeables/minigames/deathmatch_enter.80def59e357d9514ba9cd9bb3d9c83b0.png,[]
4310307653473645,Biomes Quest Bot,Biomes Quest Bot,,actor,npcs/helping_robot,Objects,,placeRobot,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":1.5,""z"":1}",,,,[]
1534621126189466,Medium Wood Frame,Medium Wood Frame,,wall_or_display_decor,placeables/frames/oak_frame_medium,Objects,Frame,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":0.1,""y"":2,""z"":2}",,/buckets/biomes-static/asset_data/placeables/frames/oak_frame_medium.38f6bdc4594a58a1f20f1bd57693a0ab.gltf,/buckets/biomes-static/asset_data/icons/placeables/frames/oak_frame_medium.b39e5e59dbb8df09a5a3c31adcd4aeea.png,[]
1647633189366316,Camping Supplies,Camping Supplies,,storage_or_clutter,placeables/quests/cargo_crate,Objects,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":1,""z"":1}",,/buckets/biomes-static/asset_data/placeables/quests/cargo_crate.4f1f06a134af0c6c1a087727b9f72834.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/cargo_crate.2e9d41c60a9bf9f73c81c50076b099f4.png,[]
3324897590409143,Mailbox,Mailbox,,decor_or_misc,placeables/mailbox/mailbox,Mailbox,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":2,""z"":1}",,/buckets/biomes-static/asset_data/placeables/mailbox/mailbox.a1800ce4692eeffdc569ec99a80c6418.gltf,/buckets/biomes-static/asset_data/icons/placeables/mailbox/mailbox.1b4a41f6770ec397b0366ffd81e889c1.png,[]
4537020877769793,Extra Large Wood Frame,Extra Large Wood Frame,,wall_or_display_decor,placeables/frames/oak_frame_extralarge,Objects,Frame,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":0.1,""y"":6,""z"":6}",,/buckets/biomes-static/asset_data/placeables/frames/oak_frame_extralarge.9311947e12fb2a9c2f145841f5a426fb.gltf,/buckets/biomes-static/asset_data/icons/placeables/frames/oak_frame_extralarge.ecc42a2cd9430eba550812d47b7f1930.png,[]
4505322372247292,Fish Wall Mount,Fish Wall Mount,,wall_or_display_decor,placeables/fish_wall_mount,Objects,Fish Display,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":0.1,""y"":1,""z"":2}",,/buckets/biomes-static/asset_data/placeables/fish_wall_mount.be0198942cc42a5d81c4edae58ec91ec.gltf,/buckets/biomes-static/asset_data/icons/placeables/fish_wall_mount.43dcaa8798b19800d2716a9cf60cd221.png,[]
1534621126189250,Race Checkpoint,Race Checkpoint,,decor_or_misc,,Race,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":0.05,""z"":1}",,,,"[""very thin/low placeable bounds""]"
7539420629350126,Unknown Item,Unknown Item,,decor_or_misc,,Item,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}",,,,,"[""missing boxSize""]"
8124464785675261,Haystack,Haystack,,decor_or_misc,,Objects,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":1,""z"":1}",,,,[]
1236241715538238,Shop,Shop,,architecture,placeables/shop/oak_tray,Objects,Shop,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":2,""y"":2,""z"":2}",,/buckets/biomes-static/asset_data/placeables/shop/oak_tray.e76af8d8bed7d48a34206ccef5b7cb00.gltf,/buckets/biomes-static/asset_data/icons/placeables/shop/oak_tray.2b7683b55853d463edd3540db95e00e5.png,[]
3243584032760191,Blueprint: Network Tower,Blueprint: Network Tower,,architecture,items/blueprint,Blueprints,Blueprint,place,"{""isPlaceable"":false,""isBlueprint"":true,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":3,""y"":6,""z"":3}",,,,[]
7301681837913214,Deprecated Clearing Stone,Deprecated Clearing Stone,,nature_or_resource,placeables/runic_stone,Objects,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":1,""z"":1}",,/buckets/biomes-static/asset_data/placeables/runic_stone.b293fa6b00b37171a7823eb997cd03e9.gltf,/buckets/biomes-static/asset_data/icons/placeables/runic_stone.8a1fb0e425bbbd6cdcb2bc22f3fbf2fc.png,[]
6555388762217860,Outfit Stand,Outfit Stand,,decor_or_misc,placeables/mailbox/mailbox,Outfit Stand,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":2,""z"":1}",,/buckets/biomes-static/asset_data/placeables/mailbox/mailbox.a1800ce4692eeffdc569ec99a80c6418.gltf,/buckets/biomes-static/asset_data/icons/placeables/mailbox/mailbox.1b4a41f6770ec397b0366ffd81e889c1.png,[]
1056387151531327,Network Tower Advanced Blueprint,Network Tower Advanced Blueprint,,architecture,items/blueprint,Blueprints,Blueprint,place,"{""isPlaceable"":false,""isBlueprint"":true,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":3,""y"":6,""z"":3}",,,,[]
4590081419630270,Blueprint: Composter,Blueprint: Composter,,decor_or_misc,items/blueprint,Blueprints,Blueprint,place,"{""isPlaceable"":false,""isBlueprint"":true,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":2,""z"":3}",,,,[]
7642096223334102,Blueprint: Kitchen,Blueprint: Kitchen,,decor_or_misc,items/blueprint,Blueprints,Blueprint,place,"{""isPlaceable"":false,""isBlueprint"":true,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":4,""y"":1,""z"":1}",,,,[]
1037781506984197,Restoro Bot,Restoro Bot,,actor,npcs/helping_robot,Objects,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":1.5,""z"":1}",,,,[]
687030652370627,Gate,Gate,,architecture,,Minigame,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":2,""z"":2}","{""x"":1,""y"":0.05,""z"":2}",,,"[""very thin/low placeable bounds""]"
3404143854225624,Wall Note,Wall Note,,wall_or_display_decor,,Objects,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":0.1,""y"":1,""z"":1}",,,,[]
1534621126189460,Extra Large Silver Frame,Extra Large Silver Frame,,wall_or_display_decor,placeables/frames/silver_frame_extralarge,Objects,Frame,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":0.1,""y"":6,""z"":6}",,/buckets/biomes-static/asset_data/placeables/frames/silver_frame_extralarge.87536df376396d82ca52aa28fa3db77c.gltf,/buckets/biomes-static/asset_data/icons/placeables/frames/silver_frame_extralarge.35ec7f350718429ca2f9c76fdb25e9dd.png,[]
4537020877769787,Extra Large Gold Frame,Extra Large Gold Frame,,wall_or_display_decor,placeables/frames/gold_frame_extralarge,Objects,Frame,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":0.1,""y"":6,""z"":6}",,/buckets/biomes-static/asset_data/placeables/frames/gold_frame_extralarge.08aff37fd428edb99f619ccfd194da98.gltf,/buckets/biomes-static/asset_data/icons/placeables/frames/gold_frame_extralarge.9d31d76dd5ac379925e7c98fef040276.png,[]
881356273198355,Needle,Needle,,decor_or_misc,,Key Items,Needle,,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}",,,,,"[""missing boxSize""]"
5586517049831012,Weather Vane,Weather Vane,,decor_or_misc,,Objects,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":1.5,""z"":1}",,,,[]
7539420629350120,Medium Silver Frame,Medium Silver Frame,,wall_or_display_decor,placeables/frames/silver_frame_medium,Objects,Frame,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":0.1,""y"":2,""z"":2}",,/buckets/biomes-static/asset_data/placeables/frames/silver_frame_medium.19f06528f28f0201d2465e7a379df7aa.gltf,/buckets/biomes-static/asset_data/icons/placeables/frames/silver_frame_medium.4fffc7b5c8123b645caf6636328fb095.png,[]
1534621126189481,Container,Container,,storage_or_clutter,,Item,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}",,,,,"[""missing boxSize""]"
173652682453948,Lillypad Leap Silver Trophy,Lillypad Leap Silver Trophy,,decor_or_misc,,Objects,Home Decoration,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":1,""z"":1}",,,,[]
5979991977107628,Chest,Chest,,storage_or_clutter,placeables/quests/treasure_chest,Objects,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":1,""z"":1}",,/buckets/biomes-static/asset_data/placeables/quests/treasure_chest.6fe63e89bf1eaee197bbf6edda8f6604.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/treasure_chest.a1ec8a8b3119951b80608cb5af051366.png,[]
1305151510110056,Tackle Box,Tackle Box,,storage_or_clutter,,Objects,Container,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":1,""z"":1}",,,,[]
6203259711678048,D-Mucker,D-Mucker,,nature_or_resource,placeables/runic_stone,Muck Clearing Devices,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":1,""z"":1}",,/buckets/biomes-static/asset_data/placeables/runic_stone.b293fa6b00b37171a7823eb997cd03e9.gltf,/buckets/biomes-static/asset_data/icons/placeables/runic_stone.8a1fb0e425bbbd6cdcb2bc22f3fbf2fc.png,[]
