key,format,sourcePath,defaultScale,semanticRole,objectKind,description,size.sourceSize,size.authoredDefaultSize,size.renderedDefaultSize,colors.materialColors,colors.prominentRenderedColors,animations,warnings
stall_stool,gltf,glb/props/market/stall-stool.glb,0.85,stall,furniture,"stall stool (furniture); 0.221m x 0.1917m x 0.221m. Dominant colors: white/light, mixed, orange/gold.","{""x"":0.26,""y"":0.2255,""z"":0.26}","{""x"":0.221,""y"":0.1917,""z"":0.221}","{""x"":0.221,""y"":0.1917,""z"":0.221}","[{""name"":""colormap"",""hex"":""#ffffff""}]","[{""hex"":""#ffffe0"",""pixels"":13617},{""hex"":""#ffe0a0"",""pixels"":12362},{""hex"":""#ffe0c0"",""pixels"":5494},{""hex"":""#ffffc0"",""pixels"":4767},{""hex"":""#ffc0a0"",""pixels"":1000},{""hex"":""#ffe0e0"",""pixels"":122}]",[],[]
fountain_square,gltf,glb/props/market/fountain-square.glb,1,solid_landmark,service_or_landmark_prop,"fountain square (service_or_landmark_prop); 2m x 0.4552m x 2m. Dominant colors: white/light, blue.","{""x"":2,""y"":0.4552,""z"":2}","{""x"":2,""y"":0.4552,""z"":2}","{""x"":2,""y"":0.4552,""z"":2}","[{""name"":""colormap"",""hex"":""#ffffff""},{""name"":""Water"",""hex"":""#79dcff""}]","[{""hex"":""#ffffff"",""pixels"":14709},{""hex"":""#e0ffff"",""pixels"":1571},{""hex"":""#c0c0e0"",""pixels"":1041},{""hex"":""#c0e0ff"",""pixels"":941},{""hex"":""#e0e0ff"",""pixels"":714},{""hex"":""#c0c0ff"",""pixels"":435},{""hex"":""#a0c0e0"",""pixels"":42},{""hex"":""#c0e0e0"",""pixels"":32}]",[],[]
banner_red,gltf,glb/props/town/banner-red.glb,0.9,decorative_tiny,wall_or_display_decor,"banner red (wall_or_display_decor); 0.045m x 0.7555m x 0.45m. Dominant colors: orange/gold, white/light, mixed.","{""x"":0.05,""y"":0.8394,""z"":0.5}","{""x"":0.045,""y"":0.7555,""z"":0.45}","{""x"":0.045,""y"":0.7554,""z"":0.45}","[{""name"":""colormap"",""hex"":""#ffffff""}]","[{""hex"":""#ff80a0"",""pixels"":5209},{""hex"":""#ffa0a0"",""pixels"":2196},{""hex"":""#ffa0c0"",""pixels"":215},{""hex"":""#ffffe0"",""pixels"":193},{""hex"":""#ffe0a0"",""pixels"":171},{""hex"":""#ffc0c0"",""pixels"":142},{""hex"":""#ffe0c0"",""pixels"":129},{""hex"":""#ffe0e0"",""pixels"":52}]",[],[]
banner_green,gltf,glb/props/town/banner-green.glb,0.9,decorative_tiny,wall_or_display_decor,"banner green (wall_or_display_decor); 0.045m x 0.7555m x 0.45m. Dominant colors: mixed, white/light.","{""x"":0.05,""y"":0.8394,""z"":0.5}","{""x"":0.045,""y"":0.7555,""z"":0.45}","{""x"":0.045,""y"":0.7554,""z"":0.45}","[{""name"":""colormap"",""hex"":""#ffffff""}]","[{""hex"":""#a0ffff"",""pixels"":3846},{""hex"":""#80ffff"",""pixels"":2294},{""hex"":""#80ffe0"",""pixels"":1456},{""hex"":""#c0ffff"",""pixels"":325},{""hex"":""#ffffe0"",""pixels"":205},{""hex"":""#ffe0a0"",""pixels"":169},{""hex"":""#ffe0c0"",""pixels"":106},{""hex"":""#ffffc0"",""pixels"":52}]",[],[]
lantern,gltf,glb/props/town/lantern.glb,0.8,decorative_tiny,lighting,"lantern (lighting); 0.1731m x 1.2448m x 0.1794m. Dominant colors: white/light, blue.","{""x"":0.2164,""y"":1.556,""z"":0.2243}","{""x"":0.1731,""y"":1.2448,""z"":0.1794}","{""x"":0.1732,""y"":1.2448,""z"":0.1795}","[{""name"":""colormap"",""hex"":""#ffffff""}]","[{""hex"":""#ffffff"",""pixels"":1520},{""hex"":""#e0e0ff"",""pixels"":369},{""hex"":""#c0c0e0"",""pixels"":211},{""hex"":""#e0ffff"",""pixels"":191},{""hex"":""#c0e0ff"",""pixels"":101},{""hex"":""#c0c0ff"",""pixels"":71},{""hex"":""#a0c0e0"",""pixels"":61},{""hex"":""#e0e0e0"",""pixels"":32}]",[],[]
tree,gltf,glb/environment/trees/tree.glb,1,tree_trunk,nature_or_resource,"tree (nature_or_resource); 1.023m x 2.4128m x 1.023m. Dominant colors: mixed, green.","{""x"":1.023,""y"":2.4128,""z"":1.023}","{""x"":1.023,""y"":2.4128,""z"":1.023}","{""x"":1.023,""y"":2.4128,""z"":1.023}","[{""name"":""colormap"",""hex"":""#ffffff""}]","[{""hex"":""#80ffe0"",""pixels"":4405},{""hex"":""#80ffc0"",""pixels"":322},{""hex"":""#ffffc0"",""pixels"":311},{""hex"":""#a0ffff"",""pixels"":197},{""hex"":""#80ffff"",""pixels"":171},{""hex"":""#ffe0c0"",""pixels"":122},{""hex"":""#a0ffe0"",""pixels"":69},{""hex"":""#60ffc0"",""pixels"":58}]",[],[]
tree_high,gltf,glb/environment/trees/tree-high.glb,1,tree_trunk,nature_or_resource,"tree high (nature_or_resource); 1.023m x 2.9728m x 1.023m. Dominant colors: mixed, green.","{""x"":1.023,""y"":2.9728,""z"":1.023}","{""x"":1.023,""y"":2.9728,""z"":1.023}","{""x"":1.023,""y"":2.9728,""z"":1.023}","[{""name"":""colormap"",""hex"":""#ffffff""}]","[{""hex"":""#80ffe0"",""pixels"":2885},{""hex"":""#ffe0a0"",""pixels"":416},{""hex"":""#ffe0c0"",""pixels"":283},{""hex"":""#80ffc0"",""pixels"":212},{""hex"":""#a0ffff"",""pixels"":135},{""hex"":""#80ffff"",""pixels"":111},{""hex"":""#c0ffe0"",""pixels"":53},{""hex"":""#a0ffe0"",""pixels"":51}]",[],[]
tree_crooked,gltf,glb/environment/trees/tree-crooked.glb,1,tree_trunk,nature_or_resource,"tree crooked (nature_or_resource); 1.023m x 2.4126m x 1.023m. Dominant colors: mixed, green.","{""x"":1.023,""y"":2.4126,""z"":1.023}","{""x"":1.023,""y"":2.4126,""z"":1.023}","{""x"":1.023,""y"":2.4126,""z"":1.023}","[{""name"":""colormap"",""hex"":""#ffffff""}]","[{""hex"":""#80ffe0"",""pixels"":4632},{""hex"":""#80ffc0"",""pixels"":338},{""hex"":""#ffffc0"",""pixels"":293},{""hex"":""#ffe0c0"",""pixels"":130},{""hex"":""#80ffff"",""pixels"":107},{""hex"":""#a0ffe0"",""pixels"":67},{""hex"":""#c0ffe0"",""pixels"":55},{""hex"":""#a0ffff"",""pixels"":52}]",[],[]
tree_high_crooked,gltf,glb/environment/trees/tree-high-crooked.glb,1,tree_trunk,nature_or_resource,"tree high crooked (nature_or_resource); 1.023m x 2.9726m x 1.023m. Dominant colors: mixed, green.","{""x"":1.023,""y"":2.9726,""z"":1.023}","{""x"":1.023,""y"":2.9726,""z"":1.023}","{""x"":1.023,""y"":2.9726,""z"":1.023}","[{""name"":""colormap"",""hex"":""#ffffff""}]","[{""hex"":""#80ffe0"",""pixels"":3028},{""hex"":""#ffffc0"",""pixels"":312},{""hex"":""#80ffc0"",""pixels"":220},{""hex"":""#ffe0c0"",""pixels"":212},{""hex"":""#ffe0a0"",""pixels"":182},{""hex"":""#80ffff"",""pixels"":71},{""hex"":""#a0ffe0"",""pixels"":59},{""hex"":""#c0ffe0"",""pixels"":49}]",[],[]
tree_high_round,gltf,glb/environment/trees/tree-high-round.glb,1,tree_trunk,nature_or_resource,"tree high round (nature_or_resource); 1.0186m x 2.7506m x 1.0186m. Dominant colors: mixed, green.","{""x"":1.0186,""y"":2.7506,""z"":1.0186}","{""x"":1.0186,""y"":2.7506,""z"":1.0186}","{""x"":1.0186,""y"":2.7506,""z"":1.0186}","[{""name"":""colormap"",""hex"":""#ffffff""}]","[{""hex"":""#80ffe0"",""pixels"":2552},{""hex"":""#a0ffff"",""pixels"":862},{""hex"":""#60ffc0"",""pixels"":836},{""hex"":""#80ffc0"",""pixels"":540},{""hex"":""#ffffc0"",""pixels"":375},{""hex"":""#ffe0c0"",""pixels"":281},{""hex"":""#ffe0a0"",""pixels"":211},{""hex"":""#a0ffe0"",""pixels"":144}]",[],[]
forest_tree_1a,gltf,gltf/kaykit/forest_nature/Tree_1_A_Color1.gltf,1,tree_trunk,nature_or_resource,"forest tree 1a (nature_or_resource); 3.181m x 4.1607m x 3.2511m. Dominant colors: green, mixed, orange/gold.","{""x"":3.181,""y"":4.1607,""z"":3.2511}","{""x"":3.181,""y"":4.1607,""z"":3.2511}","{""x"":3.181,""y"":4.1607,""z"":3.2511}","[{""name"":""forest"",""hex"":""#ffffff""}]","[{""hex"":""#a0ff80"",""pixels"":2135},{""hex"":""#c0ff80"",""pixels"":1855},{""hex"":""#80ff80"",""pixels"":1446},{""hex"":""#c0ffa0"",""pixels"":999},{""hex"":""#e0ff80"",""pixels"":971},{""hex"":""#ffc060"",""pixels"":795},{""hex"":""#ffa060"",""pixels"":746},{""hex"":""#60e060"",""pixels"":742}]",[],[]
forest_tree_1b,gltf,gltf/kaykit/forest_nature/Tree_1_B_Color1.gltf,1,tree_trunk,nature_or_resource,"forest tree 1b (nature_or_resource); 4.0068m x 4.9296m x 3.4455m. Dominant colors: green, mixed.","{""x"":4.0068,""y"":4.9296,""z"":3.4455}","{""x"":4.0068,""y"":4.9296,""z"":3.4455}","{""x"":4.0068,""y"":4.9296,""z"":3.4455}","[{""name"":""forest"",""hex"":""#ffffff""}]","[{""hex"":""#a0ff80"",""pixels"":2069},{""hex"":""#c0ff80"",""pixels"":1560},{""hex"":""#80ff80"",""pixels"":1311},{""hex"":""#e0ff80"",""pixels"":1147},{""hex"":""#c0ffa0"",""pixels"":950},{""hex"":""#60e060"",""pixels"":726},{""hex"":""#ffc060"",""pixels"":688},{""hex"":""#ffa060"",""pixels"":611}]",[],[]
forest_tree_2a,gltf,gltf/kaykit/forest_nature/Tree_2_A_Color1.gltf,1,tree_trunk,nature_or_resource,"forest tree 2a (nature_or_resource); 2.6m x 4.6748m x 2m. Dominant colors: green, mixed.","{""x"":2.6,""y"":4.6748,""z"":2}","{""x"":2.6,""y"":4.6748,""z"":2}","{""x"":2.6,""y"":4.6748,""z"":2}","[{""name"":""forest"",""hex"":""#ffffff""}]","[{""hex"":""#60e060"",""pixels"":1009},{""hex"":""#c0ff80"",""pixels"":953},{""hex"":""#a0ff80"",""pixels"":907},{""hex"":""#e0ff80"",""pixels"":890},{""hex"":""#80ff60"",""pixels"":820},{""hex"":""#e0ffa0"",""pixels"":743},{""hex"":""#80ff80"",""pixels"":484},{""hex"":""#ff8060"",""pixels"":446}]",[],[]
forest_tree_2d,gltf,gltf/kaykit/forest_nature/Tree_2_D_Color1.gltf,1,tree_trunk,nature_or_resource,"forest tree 2d (nature_or_resource); 4.7396m x 8.0876m x 4.0344m. Dominant colors: green, mixed.","{""x"":4.7396,""y"":8.0876,""z"":4.0344}","{""x"":4.7396,""y"":8.0876,""z"":4.0344}","{""x"":4.7396,""y"":8.0876,""z"":4.0344}","[{""name"":""forest"",""hex"":""#ffffff""}]","[{""hex"":""#c0ff80"",""pixels"":1628},{""hex"":""#a0ff80"",""pixels"":1621},{""hex"":""#80ff80"",""pixels"":804},{""hex"":""#e0ff80"",""pixels"":757},{""hex"":""#60e060"",""pixels"":516},{""hex"":""#80ff60"",""pixels"":423},{""hex"":""#e0ffa0"",""pixels"":333},{""hex"":""#c0ffa0"",""pixels"":273}]",[],"[""resource/voxel prop is large; verify intended world scale""]"
forest_tree_3b,gltf,gltf/kaykit/forest_nature/Tree_3_B_Color1.gltf,1,tree_trunk,nature_or_resource,"forest tree 3b (nature_or_resource); 4.1294m x 4.3529m x 4.1294m. Dominant colors: green, mixed.","{""x"":4.1294,""y"":4.3529,""z"":4.1294}","{""x"":4.1294,""y"":4.3529,""z"":4.1294}","{""x"":4.1294,""y"":4.3529,""z"":4.1294}","[{""name"":""forest"",""hex"":""#ffffff""}]","[{""hex"":""#c0ff80"",""pixels"":4026},{""hex"":""#e0ff80"",""pixels"":2158},{""hex"":""#a0ff80"",""pixels"":1674},{""hex"":""#ffffa0"",""pixels"":1051},{""hex"":""#80ff80"",""pixels"":800},{""hex"":""#c0ffa0"",""pixels"":753},{""hex"":""#e0ffa0"",""pixels"":730},{""hex"":""#ffa060"",""pixels"":721}]",[],[]
forest_tree_4c,gltf,gltf/kaykit/forest_nature/Tree_4_C_Color1.gltf,1,tree_trunk,nature_or_resource,"forest tree 4c (nature_or_resource); 3.7352m x 10.774m x 2.8691m. Dominant colors: green, orange/gold.","{""x"":3.7352,""y"":10.774,""z"":2.8691}","{""x"":3.7352,""y"":10.774,""z"":2.8691}","{""x"":3.7352,""y"":10.774,""z"":2.8691}","[{""name"":""forest"",""hex"":""#ffffff""}]","[{""hex"":""#80ff80"",""pixels"":765},{""hex"":""#60ff80"",""pixels"":538},{""hex"":""#a0ff80"",""pixels"":467},{""hex"":""#60e060"",""pixels"":277},{""hex"":""#c0ff80"",""pixels"":269},{""hex"":""#ffa060"",""pixels"":175},{""hex"":""#ff8060"",""pixels"":158},{""hex"":""#80ff60"",""pixels"":110}]",[],"[""resource/voxel prop is large; verify intended world scale"",""large bounds for non-architecture object""]"
forest_tree_bare_1a,gltf,gltf/kaykit/forest_nature/Tree_Bare_1_A_Color1.gltf,1,tree_trunk,nature_or_resource,"forest tree bare 1a (nature_or_resource); 1.1286m x 2.8569m x 1.0341m. Dominant colors: orange/gold, mixed.","{""x"":1.1286,""y"":2.8569,""z"":1.0341}","{""x"":1.1286,""y"":2.8569,""z"":1.0341}","{""x"":1.1286,""y"":2.8569,""z"":1.0341}","[{""name"":""forest"",""hex"":""#ffffff""}]","[{""hex"":""#ffc060"",""pixels"":1890},{""hex"":""#ffa060"",""pixels"":1644},{""hex"":""#ffc080"",""pixels"":579},{""hex"":""#ffe080"",""pixels"":570},{""hex"":""#ff8060"",""pixels"":263},{""hex"":""#ff8040"",""pixels"":155},{""hex"":""#ffc0a0"",""pixels"":125},{""hex"":""#ffe0c0"",""pixels"":89}]",[],[]
forest_tree_bare_2b,gltf,gltf/kaykit/forest_nature/Tree_Bare_2_B_Color1.gltf,1,tree_trunk,nature_or_resource,"forest tree bare 2b (nature_or_resource); 1.7878m x 5.5417m x 0.6639m. Dominant colors: orange/gold, mixed.","{""x"":1.7878,""y"":5.5417,""z"":0.6639}","{""x"":1.7878,""y"":5.5417,""z"":0.6639}","{""x"":1.7878,""y"":5.5417,""z"":0.6639}","[{""name"":""forest"",""hex"":""#ffffff""}]","[{""hex"":""#ffa060"",""pixels"":590},{""hex"":""#ffc060"",""pixels"":378},{""hex"":""#ff8060"",""pixels"":240},{""hex"":""#ffe0c0"",""pixels"":101},{""hex"":""#ffc0a0"",""pixels"":92},{""hex"":""#ffc080"",""pixels"":83},{""hex"":""#ffa080"",""pixels"":50},{""hex"":""#ff8040"",""pixels"":39}]",[],"[""resource/voxel prop is large; verify intended world scale""]"
forest_bush_1a,gltf,gltf/kaykit/forest_nature/Bush_1_A_Color1.gltf,1,soft_barrier,nature_or_resource,"forest bush 1a (nature_or_resource); 0.2672m x 0.2267m x 0.2341m. Dominant colors: green, mixed.","{""x"":0.2672,""y"":0.2267,""z"":0.2341}","{""x"":0.2672,""y"":0.2267,""z"":0.2341}","{""x"":0.2672,""y"":0.2267,""z"":0.2341}","[{""name"":""forest"",""hex"":""#ffffff""}]","[{""hex"":""#a0ff80"",""pixels"":4276},{""hex"":""#c0ff80"",""pixels"":3615},{""hex"":""#80ff80"",""pixels"":2514},{""hex"":""#60e060"",""pixels"":2236},{""hex"":""#80ff60"",""pixels"":1482},{""hex"":""#e0ff80"",""pixels"":1436},{""hex"":""#e0ffa0"",""pixels"":1294},{""hex"":""#c0ffa0"",""pixels"":1212}]",[],[]
forest_bush_1d,gltf,gltf/kaykit/forest_nature/Bush_1_D_Color1.gltf,1,soft_barrier,nature_or_resource,"forest bush 1d (nature_or_resource); 1.5669m x 0.9937m x 1.5669m. Dominant colors: green, mixed.","{""x"":1.5669,""y"":0.9937,""z"":1.5669}","{""x"":1.5669,""y"":0.9937,""z"":1.5669}","{""x"":1.5669,""y"":0.9937,""z"":1.5669}","[{""name"":""forest"",""hex"":""#ffffff""}]","[{""hex"":""#a0ff80"",""pixels"":3199},{""hex"":""#c0ff80"",""pixels"":2563},{""hex"":""#e0ff80"",""pixels"":2156},{""hex"":""#80ff80"",""pixels"":1884},{""hex"":""#e0ffa0"",""pixels"":1226},{""hex"":""#c0ffa0"",""pixels"":1207},{""hex"":""#60e060"",""pixels"":1176},{""hex"":""#80ff60"",""pixels"":900}]",[],[]
forest_bush_2b,gltf,gltf/kaykit/forest_nature/Bush_2_B_Color1.gltf,1,soft_barrier,nature_or_resource,"forest bush 2b (nature_or_resource); 0.858m x 0.858m x 0.858m. Dominant colors: green, mixed.","{""x"":0.858,""y"":0.858,""z"":0.858}","{""x"":0.858,""y"":0.858,""z"":0.858}","{""x"":0.858,""y"":0.858,""z"":0.858}","[{""name"":""forest"",""hex"":""#ffffff""}]","[{""hex"":""#c0ff80"",""pixels"":5914},{""hex"":""#a0ff80"",""pixels"":5490},{""hex"":""#60e060"",""pixels"":4766},{""hex"":""#80ff60"",""pixels"":4055},{""hex"":""#e0ff80"",""pixels"":3904},{""hex"":""#e0ffa0"",""pixels"":3145},{""hex"":""#80ff80"",""pixels"":2832},{""hex"":""#ffffc0"",""pixels"":2370}]",[],[]
forest_bush_3c,gltf,gltf/kaykit/forest_nature/Bush_3_C_Color1.gltf,1,soft_barrier,nature_or_resource,"forest bush 3c (nature_or_resource); 2.49m x 1.1507m x 2.49m. Dominant colors: green, mixed.","{""x"":2.49,""y"":1.1507,""z"":2.49}","{""x"":2.49,""y"":1.1507,""z"":2.49}","{""x"":2.49,""y"":1.1507,""z"":2.49}","[{""name"":""forest"",""hex"":""#ffffff""}]","[{""hex"":""#c0ff80"",""pixels"":3778},{""hex"":""#e0ff80"",""pixels"":2604},{""hex"":""#a0ff80"",""pixels"":1979},{""hex"":""#c0ffa0"",""pixels"":1331},{""hex"":""#80ff80"",""pixels"":971},{""hex"":""#ffffa0"",""pixels"":806},{""hex"":""#e0ffa0"",""pixels"":726},{""hex"":""#ffffc0"",""pixels"":517}]",[],[]
forest_bush_4e,gltf,gltf/kaykit/forest_nature/Bush_4_E_Color1.gltf,1,soft_barrier,nature_or_resource,"forest bush 4e (nature_or_resource); 2.6963m x 1.302m x 2.2786m. Dominant colors: green, mixed.","{""x"":2.6963,""y"":1.302,""z"":2.2786}","{""x"":2.6963,""y"":1.302,""z"":2.2786}","{""x"":2.6963,""y"":1.302,""z"":2.2786}","[{""name"":""forest"",""hex"":""#ffffff""}]","[{""hex"":""#a0ff80"",""pixels"":2986},{""hex"":""#80ff80"",""pixels"":2525},{""hex"":""#c0ff80"",""pixels"":1787},{""hex"":""#c0ffa0"",""pixels"":1139},{""hex"":""#e0ffa0"",""pixels"":782},{""hex"":""#60ff80"",""pixels"":564},{""hex"":""#e0ff80"",""pixels"":544},{""hex"":""#60e060"",""pixels"":465}]",[],[]
forest_grass_1a,gltf,gltf/kaykit/forest_nature/Grass_1_A_Color1.gltf,1,ground_surface,nature_or_resource,"forest grass 1a (nature_or_resource); 0.3393m x 0.5593m x 0.1518m. Dominant colors: green, mixed.","{""x"":0.3393,""y"":0.5593,""z"":0.1518}","{""x"":0.3393,""y"":0.5593,""z"":0.1518}","{""x"":0.3393,""y"":0.5593,""z"":0.1518}","[{""name"":""forest"",""hex"":""#ffffff""}]","[{""hex"":""#c0ff80"",""pixels"":5324},{""hex"":""#e0ff80"",""pixels"":3698},{""hex"":""#a0ff80"",""pixels"":1450},{""hex"":""#a0ff60"",""pixels"":836},{""hex"":""#c0ff60"",""pixels"":139},{""hex"":""#e0ffc0"",""pixels"":119},{""hex"":""#ffff80"",""pixels"":95},{""hex"":""#e0ffa0"",""pixels"":91}]",[],[]
