key,galoisPath,rel,format,objectKind,description,size.sourceSize,size.renderedDefaultSize,publicPath,iconPublicPath,linkedBikkieDisplayNames,warnings
crafting_stations_stone_thermoblaster,placeables/crafting_stations/stone_thermoblaster,crafting_stations/stone_thermoblaster,gltf,nature_or_resource,"crafting stations stone thermoblaster (nature_or_resource); 3m x 3m x 3.1875m. Dominant colors: gray/stone, white/light, mixed, blue.","{""x"":3,""y"":3,""z"":3.1875}","{""x"":3,""y"":3,""z"":3.1875}",/buckets/biomes-static/asset_data/placeables/crafting_stations/stone_thermoblaster.eaebdc06413a59d9225b4c6ed0854977.gltf,/buckets/biomes-static/asset_data/icons/placeables/crafting_stations/stone_thermoblaster.60b65fd965a876790faa198017e36e25.png,"[""Thermoblaster""]",[]
crafting_stations_stone_thermolite,placeables/crafting_stations/stone_thermolite,crafting_stations/stone_thermolite,gltf,nature_or_resource,"crafting stations stone thermolite (nature_or_resource); 1.125m x 2m x 3m. Dominant colors: gray/stone, white/light, blue, mixed.","{""x"":1.125,""y"":2,""z"":3}","{""x"":1.125,""y"":2,""z"":3}",/buckets/biomes-static/asset_data/placeables/crafting_stations/stone_thermolite.8386af3a264ec3f73866b7ef231f8e63.gltf,/buckets/biomes-static/asset_data/icons/placeables/crafting_stations/stone_thermolite.8b0038f346fa60b33d0d6fe75d1ceaae.png,"[""Thermolite""]",[]
doors_birch_door,placeables/doors/birch_door,doors/birch_door,gltf,architecture,"doors birch door (architecture); 0.25m x 2m x 1m. Dominant colors: mixed, orange/gold, white/light.","{""x"":0.25,""y"":2,""z"":1}","{""x"":0.25,""y"":2,""z"":1}",/buckets/biomes-static/asset_data/placeables/doors/birch_door.952b043b050ae8ca135745758243e388.gltf,/buckets/biomes-static/asset_data/icons/placeables/doors/birch_door.f4ceb0a2f23502246237fefa1b872e47.png,"[""Birch Door""]",[]
doors_branches_door,placeables/doors/branches_door,doors/branches_door,gltf,architecture,"doors branches door (architecture); 0.375m x 2m x 1m. Dominant colors: orange/gold, mixed.","{""x"":0.375,""y"":2,""z"":1}","{""x"":0.375,""y"":2,""z"":1}",/buckets/biomes-static/asset_data/placeables/doors/branches_door.bcf56c7681fab0a555ef128f526d55af.gltf,/buckets/biomes-static/asset_data/icons/placeables/doors/branches_door.8c5f2cfa0a31ff619de243b08eec8466.png,"[""Branches Door""]",[]
doors_door_animations,placeables/doors/door_animations,doors/door_animations,,architecture,doors door animations (architecture); size not measured.,,,,,[],"[""missing measured size""]"
doors_oak_door,placeables/doors/oak_door,doors/oak_door,gltf,architecture,"doors oak door (architecture); 0.25m x 2m x 1m. Dominant colors: orange/gold, mixed.","{""x"":0.25,""y"":2,""z"":1}","{""x"":0.25,""y"":2,""z"":1}",/buckets/biomes-static/asset_data/placeables/doors/oak_door.9406b5aae04de693d87992c3547bceb3.gltf,/buckets/biomes-static/asset_data/icons/placeables/doors/oak_door.7f6b19ab096e778e18d4b9a8ad9c4cb9.png,"[""Oak Door""]",[]
doors_rubber_door,placeables/doors/rubber_door,doors/rubber_door,gltf,architecture,"doors rubber door (architecture); 0.375m x 2m x 1m. Dominant colors: orange/gold, red/brown, white/light.","{""x"":0.375,""y"":2,""z"":1}","{""x"":0.375,""y"":2,""z"":1}",/buckets/biomes-static/asset_data/placeables/doors/rubber_door.f9177be101e932bff6161c0c42be9cd7.gltf,/buckets/biomes-static/asset_data/icons/placeables/doors/rubber_door.df6391d7f9953a67fd538fa80f961f0c.png,"[""Rubber Door""]",[]
doors_silver_door,placeables/doors/silver_door,doors/silver_door,gltf,architecture,"doors silver door (architecture); 0.25m x 2m x 1m. Dominant colors: blue, white/light, mixed.","{""x"":0.25,""y"":2,""z"":1}","{""x"":0.25,""y"":2,""z"":1}",/buckets/biomes-static/asset_data/placeables/doors/silver_door.8a212eaa44cb40e1d21caad274f66913.gltf,/buckets/biomes-static/asset_data/icons/placeables/doors/silver_door.684566ef5408196e98ccab3fa9c83ded.png,"[""Silver Door""]",[]
fish_wall_mount,placeables/fish_wall_mount,fish_wall_mount,gltf,wall_or_display_decor,"fish wall mount (wall_or_display_decor); 0.125m x 1.1875m x 2.125m. Dominant colors: orange/gold, mixed.","{""x"":0.125,""y"":1.1875,""z"":2.125}","{""x"":0.125,""y"":1.1875,""z"":2.125}",/buckets/biomes-static/asset_data/placeables/fish_wall_mount.be0198942cc42a5d81c4edae58ec91ec.gltf,/buckets/biomes-static/asset_data/icons/placeables/fish_wall_mount.43dcaa8798b19800d2716a9cf60cd221.png,"[""Fish Wall Mount""]","[""handheld/tabletop-looking prop appears oversized""]"
frames_gold_frame_extralarge,placeables/frames/gold_frame_extralarge,frames/gold_frame_extralarge,gltf,wall_or_display_decor,"frames gold frame extralarge (wall_or_display_decor); 0.125m x 6m x 6m. Dominant colors: wood/brown, mixed.","{""x"":0.125,""y"":6,""z"":6}","{""x"":0.125,""y"":6,""z"":6}",/buckets/biomes-static/asset_data/placeables/frames/gold_frame_extralarge.08aff37fd428edb99f619ccfd194da98.gltf,/buckets/biomes-static/asset_data/icons/placeables/frames/gold_frame_extralarge.9d31d76dd5ac379925e7c98fef040276.png,"[""Extra Large Gold Frame""]","[""small-decor semantic role but very large measured bounds"",""resource/voxel prop is large; verify intended world scale""]"
frames_gold_frame_large,placeables/frames/gold_frame_large,frames/gold_frame_large,gltf,wall_or_display_decor,"frames gold frame large (wall_or_display_decor); 0.125m x 4m x 4m. Dominant colors: wood/brown, mixed, orange/gold, white/light.","{""x"":0.125,""y"":4,""z"":4}","{""x"":0.125,""y"":4,""z"":4}",/buckets/biomes-static/asset_data/placeables/frames/gold_frame_large.cecb43258f0fdd78bcb079becf25a6b0.gltf,/buckets/biomes-static/asset_data/icons/placeables/frames/gold_frame_large.34f87a179eb6bc87d281dd3638917edb.png,"[""Large Gold Frame""]",[]
frames_oak_frame_extralarge,placeables/frames/oak_frame_extralarge,frames/oak_frame_extralarge,gltf,wall_or_display_decor,frames oak frame extralarge (wall_or_display_decor); 0.125m x 6m x 6m. Dominant colors: orange/gold.,"{""x"":0.125,""y"":6,""z"":6}","{""x"":0.125,""y"":6,""z"":6}",/buckets/biomes-static/asset_data/placeables/frames/oak_frame_extralarge.9311947e12fb2a9c2f145841f5a426fb.gltf,/buckets/biomes-static/asset_data/icons/placeables/frames/oak_frame_extralarge.ecc42a2cd9430eba550812d47b7f1930.png,"[""Extra Large Wood Frame""]","[""small-decor semantic role but very large measured bounds""]"
frames_oak_frame_large,placeables/frames/oak_frame_large,frames/oak_frame_large,gltf,wall_or_display_decor,frames oak frame large (wall_or_display_decor); 0.125m x 4m x 4m. Dominant colors: orange/gold.,"{""x"":0.125,""y"":4,""z"":4}","{""x"":0.125,""y"":4,""z"":4}",/buckets/biomes-static/asset_data/placeables/frames/oak_frame_large.f633a31f2b1276e4a9bc2e0ad93e2436.gltf,/buckets/biomes-static/asset_data/icons/placeables/frames/oak_frame_large.1bc433b5b7abfa57419cad95ecad87ad.png,"[""Large Wood Frame""]",[]
frames_oak_frame_medium,placeables/frames/oak_frame_medium,frames/oak_frame_medium,gltf,wall_or_display_decor,frames oak frame medium (wall_or_display_decor); 0.125m x 2m x 2m. Dominant colors: orange/gold.,"{""x"":0.125,""y"":2,""z"":2}","{""x"":0.125,""y"":2,""z"":2}",/buckets/biomes-static/asset_data/placeables/frames/oak_frame_medium.38f6bdc4594a58a1f20f1bd57693a0ab.gltf,/buckets/biomes-static/asset_data/icons/placeables/frames/oak_frame_medium.b39e5e59dbb8df09a5a3c31adcd4aeea.png,"[""Medium Wood Frame""]",[]
frames_oak_frame_small,placeables/frames/oak_frame_small,frames/oak_frame_small,gltf,wall_or_display_decor,"frames oak frame small (wall_or_display_decor); 0.125m x 1m x 1m. Dominant colors: orange/gold, mixed.","{""x"":0.125,""y"":1,""z"":1}","{""x"":0.125,""y"":1,""z"":1}",/buckets/biomes-static/asset_data/placeables/frames/oak_frame_small.eda6d8314e517db628e59ab463cc8961.gltf,/buckets/biomes-static/asset_data/icons/placeables/frames/oak_frame_small.051cbc84b90e4c6d3c774702927cdcf1.png,"[""Small Wood Frame""]",[]
frames_silver_frame_extralarge,placeables/frames/silver_frame_extralarge,frames/silver_frame_extralarge,gltf,wall_or_display_decor,"frames silver frame extralarge (wall_or_display_decor); 0.125m x 6m x 6m. Dominant colors: blue, white/light.","{""x"":0.125,""y"":6,""z"":6}","{""x"":0.125,""y"":6,""z"":6}",/buckets/biomes-static/asset_data/placeables/frames/silver_frame_extralarge.87536df376396d82ca52aa28fa3db77c.gltf,/buckets/biomes-static/asset_data/icons/placeables/frames/silver_frame_extralarge.35ec7f350718429ca2f9c76fdb25e9dd.png,"[""Extra Large Silver Frame""]","[""small-decor semantic role but very large measured bounds"",""resource/voxel prop is large; verify intended world scale""]"
frames_silver_frame_large,placeables/frames/silver_frame_large,frames/silver_frame_large,gltf,wall_or_display_decor,"frames silver frame large (wall_or_display_decor); 0.125m x 4m x 4m. Dominant colors: blue, white/light.","{""x"":0.125,""y"":4,""z"":4}","{""x"":0.125,""y"":4,""z"":4}",/buckets/biomes-static/asset_data/placeables/frames/silver_frame_large.03ab19cdfaf17a9bf2cc5d565282b545.gltf,/buckets/biomes-static/asset_data/icons/placeables/frames/silver_frame_large.8294040ab95c99516e9f5d02d297fb27.png,"[""Minigame Leaderboard"",""Metagame Team Leaderboard"",""Large Silver Frame"",""Metagame Leaderboard""]",[]
frames_silver_frame_medium,placeables/frames/silver_frame_medium,frames/silver_frame_medium,gltf,wall_or_display_decor,"frames silver frame medium (wall_or_display_decor); 0.125m x 2m x 2m. Dominant colors: blue, white/light.","{""x"":0.125,""y"":2,""z"":2}","{""x"":0.125,""y"":2,""z"":2}",/buckets/biomes-static/asset_data/placeables/frames/silver_frame_medium.19f06528f28f0201d2465e7a379df7aa.gltf,/buckets/biomes-static/asset_data/icons/placeables/frames/silver_frame_medium.4fffc7b5c8123b645caf6636328fb095.png,"[""Medium Silver Frame""]",[]
frames_silver_frame_small,placeables/frames/silver_frame_small,frames/silver_frame_small,gltf,wall_or_display_decor,"frames silver frame small (wall_or_display_decor); 0.125m x 1m x 1m. Dominant colors: blue, white/light.","{""x"":0.125,""y"":1,""z"":1}","{""x"":0.125,""y"":1,""z"":1}",/buckets/biomes-static/asset_data/placeables/frames/silver_frame_small.6e6357bba5154c3c0c7979c32170d31a.gltf,/buckets/biomes-static/asset_data/icons/placeables/frames/silver_frame_small.afa2525e7c0baaceb33789eaec4d8956.png,"[""Small Silver Frame""]",[]
furniture_bench,placeables/furniture/bench,furniture/bench,gltf,furniture,"furniture bench (furniture); 3m x 1m x 1m. Dominant colors: orange/gold, mixed, red/brown.","{""x"":3,""y"":1,""z"":1}","{""x"":3,""y"":1,""z"":1}",/buckets/biomes-static/asset_data/placeables/furniture/bench.9e3ad63fef14129e8b922f6a860e7d11.gltf,/buckets/biomes-static/asset_data/icons/placeables/furniture/bench.ac0b3c5b82c341c863009083086361bc.png,"[""Fishing Bench""]",[]
furniture_fence,placeables/furniture/fence,furniture/fence,gltf,decor_or_misc,"furniture fence (decor_or_misc); 1m x 1m x 5m. Dominant colors: mixed, orange/gold.","{""x"":1,""y"":1,""z"":5}","{""x"":1,""y"":1,""z"":5}",/buckets/biomes-static/asset_data/placeables/furniture/fence.c8eb9c15a0ee88a6226da656bc88970f.gltf,/buckets/biomes-static/asset_data/icons/placeables/furniture/fence.cbd58ff0c64f8d2fa0df3e676ac5c350.png,"[""Fence""]",[]
furniture_table,placeables/furniture/table,furniture/table,gltf,furniture,"furniture table (furniture); 2m x 1.6875m x 3m. Dominant colors: orange/gold, white/light, mixed.","{""x"":2,""y"":1.6875,""z"":3}","{""x"":2,""y"":1.6875,""z"":3}",/buckets/biomes-static/asset_data/placeables/furniture/table.bcfcd22109d859bc426aeddec2d6d294.gltf,/buckets/biomes-static/asset_data/icons/placeables/furniture/table.14c6aac54d6a75b5bfd55fa3cd248570.png,"[""Marina Table""]",[]
furniture_ttable,placeables/furniture/ttable,furniture/ttable,gltf,furniture,"furniture ttable (furniture); 2m x 1.6875m x 3m. Dominant colors: orange/gold, white/light, mixed.","{""x"":2,""y"":1.6875,""z"":3}","{""x"":2,""y"":1.6875,""z"":3}",/buckets/biomes-static/asset_data/placeables/furniture/ttable.6873e9969b2453a162bce6c28d87af72.gltf,/buckets/biomes-static/asset_data/icons/placeables/furniture/ttable.bea0245395f09a5fb0e55c80ad41679e.png,"[""Marina Table""]",[]
led_panel,placeables/led_panel,led_panel,gltf,decor_or_misc,"led panel (decor_or_misc); 0.25m x 1.25m x 2.125m. Dominant colors: blue, gray/stone, mixed.","{""x"":0.25,""y"":1.25,""z"":2.125}","{""x"":0.25,""y"":1.25,""z"":2.125}",/buckets/biomes-static/asset_data/placeables/led_panel.82845dabfeff12e3df562b2cb6afd7d3.gltf,/buckets/biomes-static/asset_data/icons/placeables/led_panel.8c4a3a7b0bd1cde8ca87e7678ef3e557.png,"[""TV""]",[]
mailbox_mailbox,placeables/mailbox/mailbox,mailbox/mailbox,gltf,decor_or_misc,"mailbox mailbox (decor_or_misc); 1m x 2m x 0.8125m. Dominant colors: blue, red/brown, gray/stone.","{""x"":1,""y"":2,""z"":0.8125}","{""x"":1,""y"":2,""z"":0.8125}",/buckets/biomes-static/asset_data/placeables/mailbox/mailbox.a1800ce4692eeffdc569ec99a80c6418.gltf,/buckets/biomes-static/asset_data/icons/placeables/mailbox/mailbox.1b4a41f6770ec397b0366ffd81e889c1.png,"[""Mailbox"",""Outfit Stand""]",[]
minigames_bbox_marker,placeables/minigames/bbox_marker,minigames/bbox_marker,gltf,decor_or_misc,"minigames bbox marker (decor_or_misc); 0.375m x 1.125m x 0.375m. Dominant colors: blue, gray/stone.","{""x"":0.375,""y"":1.125,""z"":0.375}","{""x"":0.375,""y"":1.125,""z"":0.375}",/buckets/biomes-static/asset_data/placeables/minigames/bbox_marker.f496b2589b1d4ce26334c0f1c736e8d2.gltf,/buckets/biomes-static/asset_data/icons/placeables/minigames/bbox_marker.d2071671ae3391bc0d3dd94a75501672.png,"[""Arena Marker""]",[]
minigames_deathmatch_enter,placeables/minigames/deathmatch_enter,minigames/deathmatch_enter,gltf,decor_or_misc,"minigames deathmatch enter (decor_or_misc); 0.3125m x 2.5m x 1.125m. Dominant colors: black/dark, white/light, blue, gray/stone, orange/gold.","{""x"":0.3125,""y"":2.5,""z"":1.125}","{""x"":0.3125,""y"":2.5,""z"":1.125}",/buckets/biomes-static/asset_data/placeables/minigames/deathmatch_enter.0d9dd3266268404c294cfb1fc26d7ba9.gltf,/buckets/biomes-static/asset_data/icons/placeables/minigames/deathmatch_enter.80def59e357d9514ba9cd9bb3d9c83b0.png,"[""Deathmatch Enter""]",[]
minigames_minigame_gates,placeables/minigames/minigame_gates,minigames/minigame_gates,gltf,architecture,"minigames minigame gates (architecture); 0.375m x 2m x 3m. Dominant colors: white/light, mixed, blue.","{""x"":0.375,""y"":2,""z"":3}","{""x"":0.375,""y"":2,""z"":3}",/buckets/biomes-static/asset_data/placeables/minigames/minigame_gates.7a6bf42e6b0fce30fc5af00fb37ffafe.gltf,/buckets/biomes-static/asset_data/icons/placeables/minigames/minigame_gates.d875e547b306a3da610d319b738c66ad.png,"[""Minigame Gates""]",[]
minigames_minigame_leaderboard,placeables/minigames/minigame_leaderboard,minigames/minigame_leaderboard,gltf,decor_or_misc,"minigames minigame leaderboard (decor_or_misc); 0.125m x 4m x 4m. Dominant colors: black/dark, mixed, white/light.","{""x"":0.125,""y"":4,""z"":4}","{""x"":0.125,""y"":4,""z"":4}",/buckets/biomes-static/asset_data/placeables/minigames/minigame_leaderboard.87475ca03dbf93cb6ab05d651865afab.gltf,/buckets/biomes-static/asset_data/icons/placeables/minigames/minigame_leaderboard.35d895a95f809ecf60337cf2e99a8dda.png,[],[]
minigames_simple_race_checkpoint,placeables/minigames/simple_race_checkpoint,minigames/simple_race_checkpoint,gltf,decor_or_misc,"minigames simple race checkpoint (decor_or_misc); 1m x 0.125m x 1m. Dominant colors: mixed, wood/brown.","{""x"":1,""y"":0.125,""z"":1}","{""x"":1,""y"":0.125,""z"":1}",/buckets/biomes-static/asset_data/placeables/minigames/simple_race_checkpoint.8ca8c69f3580372506c2c1eddf07effd.gltf,/buckets/biomes-static/asset_data/icons/placeables/minigames/simple_race_checkpoint.60e8b98f4150d2be96b230aa164f0133.png,[],[]
minigames_simple_race_finish_flag,placeables/minigames/simple_race_finish_flag,minigames/simple_race_finish_flag,gltf,wall_or_display_decor,"minigames simple race finish flag (wall_or_display_decor); 0.3125m x 2.5m x 1.125m. Dominant colors: black/dark, green, blue, gray/stone, orange/gold.","{""x"":0.3125,""y"":2.5,""z"":1.125}","{""x"":0.3125,""y"":2.5,""z"":1.125}",/buckets/biomes-static/asset_data/placeables/minigames/simple_race_finish_flag.7d8d3cea21635f5fe0e6f61fa3d9e49f.gltf,/buckets/biomes-static/asset_data/icons/placeables/minigames/simple_race_finish_flag.efea587ed8f81140d6321d9f0b959cc4.png,[],[]
minigames_simple_race_start_flag,placeables/minigames/simple_race_start_flag,minigames/simple_race_start_flag,gltf,wall_or_display_decor,"minigames simple race start flag (wall_or_display_decor); 0.3125m x 2.5m x 1.125m. Dominant colors: black/dark, mixed, blue, gray/stone, orange/gold.","{""x"":0.3125,""y"":2.5,""z"":1.125}","{""x"":0.3125,""y"":2.5,""z"":1.125}",/buckets/biomes-static/asset_data/placeables/minigames/simple_race_start_flag.39d3db07265677cb89368372e3b94cd3.gltf,/buckets/biomes-static/asset_data/icons/placeables/minigames/simple_race_start_flag.a019e8591619a4cf102d3256fb20b964.png,[],[]
minigames_spleef_spawn,placeables/minigames/spleef_spawn,minigames/spleef_spawn,gltf,decor_or_misc,"minigames spleef spawn (decor_or_misc); 1m x 0.125m x 1m. Dominant colors: mixed, white/light.","{""x"":1,""y"":0.125,""z"":1}","{""x"":1,""y"":0.125,""z"":1}",/buckets/biomes-static/asset_data/placeables/minigames/spleef_spawn.f899daf22265a0ae343240fa129d1e22.gltf,/buckets/biomes-static/asset_data/icons/placeables/minigames/spleef_spawn.a2fadc6d731fdba8b3a4defe200a7f89.png,[],[]
minigames_spleef_start_flag,placeables/minigames/spleef_start_flag,minigames/spleef_start_flag,gltf,wall_or_display_decor,"minigames spleef start flag (wall_or_display_decor); 0.3125m x 2.5m x 1.125m. Dominant colors: white/light, orange/gold, blue, mixed.","{""x"":0.3125,""y"":2.5,""z"":1.125}","{""x"":0.3125,""y"":2.5,""z"":1.125}",/buckets/biomes-static/asset_data/placeables/minigames/spleef_start_flag.71ee33c662758f323b2b060a5dfb4674.gltf,/buckets/biomes-static/asset_data/icons/placeables/minigames/spleef_start_flag.5a970edb70065225a1c9894fbb98fc16.png,"[""Spleef Start""]",[]
mucker_ward,placeables/mucker_ward,mucker_ward,gltf,actor,"mucker ward (actor); 0.9m x 0.7m x 0.45m. Dominant colors: orange/gold, red/brown, wood/brown, mixed, blue.","{""x"":0.9,""y"":0.7,""z"":0.45}","{""x"":0.9,""y"":0.7,""z"":0.45}",/buckets/biomes-static/asset_data/placeables/mucker_ward.2d3bb3f1143537c8af5b58967a92d032.gltf,/buckets/biomes-static/asset_data/icons/placeables/mucker_ward.de0421c58f3f89127e14038041d5de7b.png,"[""Mucker Ward""]",[]
network_tower,placeables/network_tower,network_tower,gltf,architecture,"network tower (architecture); 3m x 6m x 3m. Dominant colors: white/light, mixed, orange/gold.","{""x"":3,""y"":6,""z"":3}","{""x"":3,""y"":6,""z"":3}",/buckets/biomes-static/asset_data/placeables/network_tower.e7fcc0181f43df646334b44725cb5fe0.gltf,/buckets/biomes-static/asset_data/icons/placeables/network_tower.e31e2ee13504acbbf77f9c443e5f1e3d.png,"[""Advanced Network Tower""]",[]
quests_bag1,placeables/quests/bag1,quests/bag1,gltf,storage_or_clutter,"quests bag1 (storage_or_clutter); 0.5m x 1m x 0.875m. Dominant colors: blue, orange/gold, gray/stone, red/brown.","{""x"":0.5,""y"":1,""z"":0.875}","{""x"":0.5,""y"":1,""z"":0.875}",/buckets/biomes-static/asset_data/placeables/quests/bag1.227c83f90ae7fe2b1a963feaafea596a.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/bag1.d2d49f373ee67ce0727c9a94e053828f.png,"[""Electrician's Bag"",""Electrician's Bag""]",[]
quests_bag2,placeables/quests/bag2,quests/bag2,gltf,storage_or_clutter,"quests bag2 (storage_or_clutter); 0.625m x 0.75m x 0.875m. Dominant colors: orange/gold, mixed, red/brown.","{""x"":0.625,""y"":0.75,""z"":0.875}","{""x"":0.625,""y"":0.75,""z"":0.875}",/buckets/biomes-static/asset_data/placeables/quests/bag2.867097edb26f06c8fc7bfeeb11a7ec19.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/bag2.a44a6be2586b038e2667567b0f90253e.png,[],[]
quests_cargo_crate,placeables/quests/cargo_crate,quests/cargo_crate,gltf,storage_or_clutter,"quests cargo crate (storage_or_clutter); 1.5m x 1m x 2m. Dominant colors: orange/gold, mixed.","{""x"":1.5,""y"":1,""z"":2}","{""x"":1.5,""y"":1,""z"":2}",/buckets/biomes-static/asset_data/placeables/quests/cargo_crate.4f1f06a134af0c6c1a087727b9f72834.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/cargo_crate.2e9d41c60a9bf9f73c81c50076b099f4.png,"[""Camping Supplies"",""Crate""]",[]
quests_paper,placeables/quests/paper,quests/paper,gltf,wall_or_display_decor,quests paper (wall_or_display_decor); 0.75m x 0.875m x 0.0625m. Dominant colors: white/light.,"{""x"":0.75,""y"":0.875,""z"":0.0625}","{""x"":0.75,""y"":0.875,""z"":0.0625}",/buckets/biomes-static/asset_data/placeables/quests/paper.feca0c4ea03cbb4ad69312b0fdb3a859.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/paper.f001958f688fe1ac66242da96bbd9a2f.png,[],[]
quests_paper_black,placeables/quests/paper_black,quests/paper_black,gltf,wall_or_display_decor,"quests paper black (wall_or_display_decor); 0.75m x 0.875m x 0.0625m. Dominant colors: blue, gray/stone, white/light.","{""x"":0.75,""y"":0.875,""z"":0.0625}","{""x"":0.75,""y"":0.875,""z"":0.0625}",/buckets/biomes-static/asset_data/placeables/quests/paper_black.4ff940d115f24745edeb507cfd16b439.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/paper_black.4f578d836ac17e82e25e80ecbbb4cd98.png,[],[]
