category,file,animation
"animal","harthmere_animal_boar_black.gltf","Stunned"
"animal","harthmere_animal_boar_black.gltf","Swim"
"animal","harthmere_animal_boar_black.gltf","Trot"
"animal","harthmere_animal_boar_black.gltf","Canter"
"animal","harthmere_animal_boar_brown.gltf","Idle"
"animal","harthmere_animal_boar_brown.gltf","Walk"
"animal","harthmere_animal_boar_brown.gltf","Walking"
"animal","harthmere_animal_boar_brown.gltf","Run"
"animal","harthmere_animal_boar_brown.gltf","Running"
"animal","harthmere_animal_boar_brown.gltf","Flee"
"animal","harthmere_animal_boar_brown.gltf","Attack"
"animal","harthmere_animal_boar_brown.gltf","HeavyAttack"
"animal","harthmere_animal_boar_brown.gltf","Bite"
"animal","harthmere_animal_boar_brown.gltf","Claw"
"animal","harthmere_animal_boar_brown.gltf","Kick"
"animal","harthmere_animal_boar_brown.gltf","Charge"
"animal","harthmere_animal_boar_brown.gltf","Pounce"
"animal","harthmere_animal_boar_brown.gltf","Peck"
"animal","harthmere_animal_boar_brown.gltf","Scratch"
"animal","harthmere_animal_boar_brown.gltf","TailWhip"
"animal","harthmere_animal_boar_brown.gltf","ShieldBlock"
"animal","harthmere_animal_boar_brown.gltf","Block"
"animal","harthmere_animal_boar_brown.gltf","HitReact"
"animal","harthmere_animal_boar_brown.gltf","Death"
"animal","harthmere_animal_boar_brown.gltf","Revive"
"animal","harthmere_animal_boar_brown.gltf","Sleep"
"animal","harthmere_animal_boar_brown.gltf","Sit"
"animal","harthmere_animal_boar_brown.gltf","Stand"
"animal","harthmere_animal_boar_brown.gltf","Jump"
"animal","harthmere_animal_boar_brown.gltf","Fall"
"animal","harthmere_animal_boar_brown.gltf","Falling"
"animal","harthmere_animal_boar_brown.gltf","Landing"
"animal","harthmere_animal_boar_brown.gltf","Dodging"
"animal","harthmere_animal_boar_brown.gltf","SidestepLeft"
"animal","harthmere_animal_boar_brown.gltf","SidestepRight"
"animal","harthmere_animal_boar_brown.gltf","Sidestep"
"animal","harthmere_animal_boar_brown.gltf","TurnLeft"
"animal","harthmere_animal_boar_brown.gltf","TurnRight"
"animal","harthmere_animal_boar_brown.gltf","Graze"
"animal","harthmere_animal_boar_brown.gltf","Eat"
"animal","harthmere_animal_boar_brown.gltf","Drink"
"animal","harthmere_animal_boar_brown.gltf","Sniff"
"animal","harthmere_animal_boar_brown.gltf","LookAround"
"animal","harthmere_animal_boar_brown.gltf","Roar"
"animal","harthmere_animal_boar_brown.gltf","Howl"
"animal","harthmere_animal_boar_brown.gltf","Growl"
"animal","harthmere_animal_boar_brown.gltf","Bark"
"animal","harthmere_animal_boar_brown.gltf","Meow"
"animal","harthmere_animal_boar_brown.gltf","Bleat"
"animal","harthmere_animal_boar_brown.gltf","Moo"
"animal","harthmere_animal_boar_brown.gltf","Neigh"
"animal","harthmere_animal_boar_brown.gltf","Chirp"
"animal","harthmere_animal_boar_brown.gltf","Spawn"
"animal","harthmere_animal_boar_brown.gltf","Despawn"
"animal","harthmere_animal_boar_brown.gltf","Stunned"
"animal","harthmere_animal_boar_brown.gltf","Swim"
"animal","harthmere_animal_boar_brown.gltf","Trot"
"animal","harthmere_animal_boar_brown.gltf","Canter"
"animal","harthmere_animal_boar_rust.gltf","Idle"
"animal","harthmere_animal_boar_rust.gltf","Walk"
"animal","harthmere_animal_boar_rust.gltf","Walking"
"animal","harthmere_animal_boar_rust.gltf","Run"
"animal","harthmere_animal_boar_rust.gltf","Running"
"animal","harthmere_animal_boar_rust.gltf","Flee"
"animal","harthmere_animal_boar_rust.gltf","Attack"
"animal","harthmere_animal_boar_rust.gltf","HeavyAttack"
"animal","harthmere_animal_boar_rust.gltf","Bite"
"animal","harthmere_animal_boar_rust.gltf","Claw"
"animal","harthmere_animal_boar_rust.gltf","Kick"
"animal","harthmere_animal_boar_rust.gltf","Charge"
"animal","harthmere_animal_boar_rust.gltf","Pounce"
"animal","harthmere_animal_boar_rust.gltf","Peck"
"animal","harthmere_animal_boar_rust.gltf","Scratch"
"animal","harthmere_animal_boar_rust.gltf","TailWhip"
"animal","harthmere_animal_boar_rust.gltf","ShieldBlock"
"animal","harthmere_animal_boar_rust.gltf","Block"
"animal","harthmere_animal_boar_rust.gltf","HitReact"
"animal","harthmere_animal_boar_rust.gltf","Death"
"animal","harthmere_animal_boar_rust.gltf","Revive"
"animal","harthmere_animal_boar_rust.gltf","Sleep"
"animal","harthmere_animal_boar_rust.gltf","Sit"
"animal","harthmere_animal_boar_rust.gltf","Stand"
"animal","harthmere_animal_boar_rust.gltf","Jump"
"animal","harthmere_animal_boar_rust.gltf","Fall"
"animal","harthmere_animal_boar_rust.gltf","Falling"
"animal","harthmere_animal_boar_rust.gltf","Landing"
"animal","harthmere_animal_boar_rust.gltf","Dodging"
"animal","harthmere_animal_boar_rust.gltf","SidestepLeft"
"animal","harthmere_animal_boar_rust.gltf","SidestepRight"
"animal","harthmere_animal_boar_rust.gltf","Sidestep"
"animal","harthmere_animal_boar_rust.gltf","TurnLeft"
"animal","harthmere_animal_boar_rust.gltf","TurnRight"
"animal","harthmere_animal_boar_rust.gltf","Graze"
"animal","harthmere_animal_boar_rust.gltf","Eat"
"animal","harthmere_animal_boar_rust.gltf","Drink"
"animal","harthmere_animal_boar_rust.gltf","Sniff"
"animal","harthmere_animal_boar_rust.gltf","LookAround"
"animal","harthmere_animal_boar_rust.gltf","Roar"
"animal","harthmere_animal_boar_rust.gltf","Howl"
"animal","harthmere_animal_boar_rust.gltf","Growl"
"animal","harthmere_animal_boar_rust.gltf","Bark"
"animal","harthmere_animal_boar_rust.gltf","Meow"
"animal","harthmere_animal_boar_rust.gltf","Bleat"
"animal","harthmere_animal_boar_rust.gltf","Moo"
"animal","harthmere_animal_boar_rust.gltf","Neigh"
"animal","harthmere_animal_boar_rust.gltf","Chirp"
"animal","harthmere_animal_boar_rust.gltf","Spawn"
"animal","harthmere_animal_boar_rust.gltf","Despawn"
"animal","harthmere_animal_boar_rust.gltf","Stunned"
"animal","harthmere_animal_boar_rust.gltf","Swim"
"animal","harthmere_animal_boar_rust.gltf","Trot"
"animal","harthmere_animal_boar_rust.gltf","Canter"
"animal","harthmere_animal_cat_black.gltf","Idle"
"animal","harthmere_animal_cat_black.gltf","Walk"
"animal","harthmere_animal_cat_black.gltf","Walking"
"animal","harthmere_animal_cat_black.gltf","Run"
"animal","harthmere_animal_cat_black.gltf","Running"
"animal","harthmere_animal_cat_black.gltf","Flee"
"animal","harthmere_animal_cat_black.gltf","Attack"
"animal","harthmere_animal_cat_black.gltf","HeavyAttack"
"animal","harthmere_animal_cat_black.gltf","Bite"
"animal","harthmere_animal_cat_black.gltf","Claw"
"animal","harthmere_animal_cat_black.gltf","Kick"
"animal","harthmere_animal_cat_black.gltf","Charge"
"animal","harthmere_animal_cat_black.gltf","Pounce"
"animal","harthmere_animal_cat_black.gltf","Peck"
"animal","harthmere_animal_cat_black.gltf","Scratch"
"animal","harthmere_animal_cat_black.gltf","TailWhip"
"animal","harthmere_animal_cat_black.gltf","ShieldBlock"
"animal","harthmere_animal_cat_black.gltf","Block"
"animal","harthmere_animal_cat_black.gltf","HitReact"
"animal","harthmere_animal_cat_black.gltf","Death"
"animal","harthmere_animal_cat_black.gltf","Revive"
"animal","harthmere_animal_cat_black.gltf","Sleep"
"animal","harthmere_animal_cat_black.gltf","Sit"
"animal","harthmere_animal_cat_black.gltf","Stand"
"animal","harthmere_animal_cat_black.gltf","Jump"
"animal","harthmere_animal_cat_black.gltf","Fall"
"animal","harthmere_animal_cat_black.gltf","Falling"
"animal","harthmere_animal_cat_black.gltf","Landing"
"animal","harthmere_animal_cat_black.gltf","Dodging"
"animal","harthmere_animal_cat_black.gltf","SidestepLeft"
"animal","harthmere_animal_cat_black.gltf","SidestepRight"
"animal","harthmere_animal_cat_black.gltf","Sidestep"
"animal","harthmere_animal_cat_black.gltf","TurnLeft"
"animal","harthmere_animal_cat_black.gltf","TurnRight"
"animal","harthmere_animal_cat_black.gltf","Graze"
"animal","harthmere_animal_cat_black.gltf","Eat"
"animal","harthmere_animal_cat_black.gltf","Drink"
"animal","harthmere_animal_cat_black.gltf","Sniff"
"animal","harthmere_animal_cat_black.gltf","LookAround"
"animal","harthmere_animal_cat_black.gltf","Roar"
"animal","harthmere_animal_cat_black.gltf","Howl"
"animal","harthmere_animal_cat_black.gltf","Growl"
"animal","harthmere_animal_cat_black.gltf","Bark"
"animal","harthmere_animal_cat_black.gltf","Meow"
"animal","harthmere_animal_cat_black.gltf","Bleat"
"animal","harthmere_animal_cat_black.gltf","Moo"
"animal","harthmere_animal_cat_black.gltf","Neigh"
"animal","harthmere_animal_cat_black.gltf","Chirp"
"animal","harthmere_animal_cat_black.gltf","Spawn"
"animal","harthmere_animal_cat_black.gltf","Despawn"
"animal","harthmere_animal_cat_black.gltf","Stunned"
"animal","harthmere_animal_cat_black.gltf","Swim"
"animal","harthmere_animal_cat_black.gltf","Trot"
"animal","harthmere_animal_cat_black.gltf","Canter"
"animal","harthmere_animal_cat_ginger.gltf","Idle"
"animal","harthmere_animal_cat_ginger.gltf","Walk"
"animal","harthmere_animal_cat_ginger.gltf","Walking"
"animal","harthmere_animal_cat_ginger.gltf","Run"
"animal","harthmere_animal_cat_ginger.gltf","Running"
"animal","harthmere_animal_cat_ginger.gltf","Flee"
"animal","harthmere_animal_cat_ginger.gltf","Attack"
"animal","harthmere_animal_cat_ginger.gltf","HeavyAttack"
"animal","harthmere_animal_cat_ginger.gltf","Bite"
"animal","harthmere_animal_cat_ginger.gltf","Claw"
"animal","harthmere_animal_cat_ginger.gltf","Kick"
"animal","harthmere_animal_cat_ginger.gltf","Charge"
"animal","harthmere_animal_cat_ginger.gltf","Pounce"
"animal","harthmere_animal_cat_ginger.gltf","Peck"
"animal","harthmere_animal_cat_ginger.gltf","Scratch"
"animal","harthmere_animal_cat_ginger.gltf","TailWhip"
"animal","harthmere_animal_cat_ginger.gltf","ShieldBlock"
"animal","harthmere_animal_cat_ginger.gltf","Block"
"animal","harthmere_animal_cat_ginger.gltf","HitReact"
"animal","harthmere_animal_cat_ginger.gltf","Death"
"animal","harthmere_animal_cat_ginger.gltf","Revive"
"animal","harthmere_animal_cat_ginger.gltf","Sleep"
"animal","harthmere_animal_cat_ginger.gltf","Sit"
"animal","harthmere_animal_cat_ginger.gltf","Stand"
"animal","harthmere_animal_cat_ginger.gltf","Jump"
"animal","harthmere_animal_cat_ginger.gltf","Fall"
"animal","harthmere_animal_cat_ginger.gltf","Falling"
"animal","harthmere_animal_cat_ginger.gltf","Landing"
"animal","harthmere_animal_cat_ginger.gltf","Dodging"
"animal","harthmere_animal_cat_ginger.gltf","SidestepLeft"
"animal","harthmere_animal_cat_ginger.gltf","SidestepRight"
"animal","harthmere_animal_cat_ginger.gltf","Sidestep"
"animal","harthmere_animal_cat_ginger.gltf","TurnLeft"
"animal","harthmere_animal_cat_ginger.gltf","TurnRight"
"animal","harthmere_animal_cat_ginger.gltf","Graze"
"animal","harthmere_animal_cat_ginger.gltf","Eat"
"animal","harthmere_animal_cat_ginger.gltf","Drink"
"animal","harthmere_animal_cat_ginger.gltf","Sniff"
"animal","harthmere_animal_cat_ginger.gltf","LookAround"
"animal","harthmere_animal_cat_ginger.gltf","Roar"
"animal","harthmere_animal_cat_ginger.gltf","Howl"
"animal","harthmere_animal_cat_ginger.gltf","Growl"
"animal","harthmere_animal_cat_ginger.gltf","Bark"
"animal","harthmere_animal_cat_ginger.gltf","Meow"
"animal","harthmere_animal_cat_ginger.gltf","Bleat"
"animal","harthmere_animal_cat_ginger.gltf","Moo"
"animal","harthmere_animal_cat_ginger.gltf","Neigh"
"animal","harthmere_animal_cat_ginger.gltf","Chirp"
"animal","harthmere_animal_cat_ginger.gltf","Spawn"
"animal","harthmere_animal_cat_ginger.gltf","Despawn"
"animal","harthmere_animal_cat_ginger.gltf","Stunned"
"animal","harthmere_animal_cat_ginger.gltf","Swim"
"animal","harthmere_animal_cat_ginger.gltf","Trot"
"animal","harthmere_animal_cat_ginger.gltf","Canter"
"animal","harthmere_animal_cat_tabby.gltf","Idle"
"animal","harthmere_animal_cat_tabby.gltf","Walk"
"animal","harthmere_animal_cat_tabby.gltf","Walking"
"animal","harthmere_animal_cat_tabby.gltf","Run"
"animal","harthmere_animal_cat_tabby.gltf","Running"
"animal","harthmere_animal_cat_tabby.gltf","Flee"
"animal","harthmere_animal_cat_tabby.gltf","Attack"
"animal","harthmere_animal_cat_tabby.gltf","HeavyAttack"
"animal","harthmere_animal_cat_tabby.gltf","Bite"
"animal","harthmere_animal_cat_tabby.gltf","Claw"
"animal","harthmere_animal_cat_tabby.gltf","Kick"
"animal","harthmere_animal_cat_tabby.gltf","Charge"
"animal","harthmere_animal_cat_tabby.gltf","Pounce"
"animal","harthmere_animal_cat_tabby.gltf","Peck"
"animal","harthmere_animal_cat_tabby.gltf","Scratch"
"animal","harthmere_animal_cat_tabby.gltf","TailWhip"
"animal","harthmere_animal_cat_tabby.gltf","ShieldBlock"
"animal","harthmere_animal_cat_tabby.gltf","Block"
"animal","harthmere_animal_cat_tabby.gltf","HitReact"
"animal","harthmere_animal_cat_tabby.gltf","Death"
"animal","harthmere_animal_cat_tabby.gltf","Revive"
"animal","harthmere_animal_cat_tabby.gltf","Sleep"
"animal","harthmere_animal_cat_tabby.gltf","Sit"
"animal","harthmere_animal_cat_tabby.gltf","Stand"
"animal","harthmere_animal_cat_tabby.gltf","Jump"
"animal","harthmere_animal_cat_tabby.gltf","Fall"
"animal","harthmere_animal_cat_tabby.gltf","Falling"
"animal","harthmere_animal_cat_tabby.gltf","Landing"
"animal","harthmere_animal_cat_tabby.gltf","Dodging"
"animal","harthmere_animal_cat_tabby.gltf","SidestepLeft"
"animal","harthmere_animal_cat_tabby.gltf","SidestepRight"
"animal","harthmere_animal_cat_tabby.gltf","Sidestep"
"animal","harthmere_animal_cat_tabby.gltf","TurnLeft"
"animal","harthmere_animal_cat_tabby.gltf","TurnRight"
"animal","harthmere_animal_cat_tabby.gltf","Graze"
"animal","harthmere_animal_cat_tabby.gltf","Eat"
"animal","harthmere_animal_cat_tabby.gltf","Drink"
"animal","harthmere_animal_cat_tabby.gltf","Sniff"
"animal","harthmere_animal_cat_tabby.gltf","LookAround"
"animal","harthmere_animal_cat_tabby.gltf","Roar"
"animal","harthmere_animal_cat_tabby.gltf","Howl"
"animal","harthmere_animal_cat_tabby.gltf","Growl"
"animal","harthmere_animal_cat_tabby.gltf","Bark"
"animal","harthmere_animal_cat_tabby.gltf","Meow"
"animal","harthmere_animal_cat_tabby.gltf","Bleat"
"animal","harthmere_animal_cat_tabby.gltf","Moo"
"animal","harthmere_animal_cat_tabby.gltf","Neigh"
"animal","harthmere_animal_cat_tabby.gltf","Chirp"
"animal","harthmere_animal_cat_tabby.gltf","Spawn"
"animal","harthmere_animal_cat_tabby.gltf","Despawn"
"animal","harthmere_animal_cat_tabby.gltf","Stunned"
"animal","harthmere_animal_cat_tabby.gltf","Swim"
"animal","harthmere_animal_cat_tabby.gltf","Trot"
"animal","harthmere_animal_cat_tabby.gltf","Canter"
"animal","harthmere_animal_chicken_black.gltf","Idle"
"animal","harthmere_animal_chicken_black.gltf","Walk"
"animal","harthmere_animal_chicken_black.gltf","Walking"
"animal","harthmere_animal_chicken_black.gltf","Run"
"animal","harthmere_animal_chicken_black.gltf","Running"
"animal","harthmere_animal_chicken_black.gltf","Flee"
"animal","harthmere_animal_chicken_black.gltf","Attack"
"animal","harthmere_animal_chicken_black.gltf","HeavyAttack"
"animal","harthmere_animal_chicken_black.gltf","Bite"
"animal","harthmere_animal_chicken_black.gltf","Claw"
"animal","harthmere_animal_chicken_black.gltf","Kick"
"animal","harthmere_animal_chicken_black.gltf","Charge"
"animal","harthmere_animal_chicken_black.gltf","Pounce"
"animal","harthmere_animal_chicken_black.gltf","Peck"
"animal","harthmere_animal_chicken_black.gltf","Scratch"
"animal","harthmere_animal_chicken_black.gltf","TailWhip"
"animal","harthmere_animal_chicken_black.gltf","ShieldBlock"
"animal","harthmere_animal_chicken_black.gltf","Block"
"animal","harthmere_animal_chicken_black.gltf","HitReact"
"animal","harthmere_animal_chicken_black.gltf","Death"
"animal","harthmere_animal_chicken_black.gltf","Revive"
"animal","harthmere_animal_chicken_black.gltf","Sleep"
