bucket,category,type,size_bytes,path
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-5-Crate-2.mtl,mtl,169,_source/free_sample/Free Sample/Medieval Town - Free Sample-5-Crate-2.mtl
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-5-Crate-2.obj,obj,113754,_source/free_sample/Free Sample/Medieval Town - Free Sample-5-Crate-2.obj
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-5-Crate-2.png,png,806,_source/free_sample/Free Sample/Medieval Town - Free Sample-5-Crate-2.png
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-6-Grass-0.mtl,mtl,169,_source/free_sample/Free Sample/Medieval Town - Free Sample-6-Grass-0.mtl
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-6-Grass-0.obj,obj,55822,_source/free_sample/Free Sample/Medieval Town - Free Sample-6-Grass-0.obj
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-6-Grass-0.png,png,806,_source/free_sample/Free Sample/Medieval Town - Free Sample-6-Grass-0.png
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-7-Grass-1.mtl,mtl,169,_source/free_sample/Free Sample/Medieval Town - Free Sample-7-Grass-1.mtl
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-7-Grass-1.obj,obj,54816,_source/free_sample/Free Sample/Medieval Town - Free Sample-7-Grass-1.obj
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-7-Grass-1.png,png,806,_source/free_sample/Free Sample/Medieval Town - Free Sample-7-Grass-1.png
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-8-Rack.mtl,mtl,166,_source/free_sample/Free Sample/Medieval Town - Free Sample-8-Rack.mtl
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-8-Rack.obj,obj,41944,_source/free_sample/Free Sample/Medieval Town - Free Sample-8-Rack.obj
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-8-Rack.png,png,806,_source/free_sample/Free Sample/Medieval Town - Free Sample-8-Rack.png
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-9-Logs.mtl,mtl,166,_source/free_sample/Free Sample/Medieval Town - Free Sample-9-Logs.mtl
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-9-Logs.obj,obj,77961,_source/free_sample/Free Sample/Medieval Town - Free Sample-9-Logs.obj
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-9-Logs.png,png,806,_source/free_sample/Free Sample/Medieval Town - Free Sample-9-Logs.png
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Animations,url,155,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Animations/Click here for more Free Animations.url
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Animations,fbx,2382700,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Animations/fbx/Rig_Medium/Rig_Medium_General.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Animations,fbx,1821068,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Animations/fbx/Rig_Medium/Rig_Medium_MovementBasic.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Animations,glb,828240,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Animations/gltf/Rig_Medium/Rig_Medium_General.glb
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Animations,glb,689624,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Animations/gltf/Rig_Medium/Rig_Medium_MovementBasic.glb
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,20396,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/arrow_bow.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,28476,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/arrow_bow_bundle.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,20380,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/arrow_crossbow.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,28492,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/arrow_crossbow_bundle.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,27868,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/axe_1handed.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,37452,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/axe_2handed.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,png,14424,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/barbarian_texture.png
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,31180,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/bow.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,43260,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/bow_withString.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,38684,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/crossbow_1handed.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,46780,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/crossbow_2handed.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,24748,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/dagger.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,png,12914,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/knight_texture.png
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,png,14740,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/mage_texture.png
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,29036,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/mug_empty.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,30428,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/mug_full.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,27900,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/quiver.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,png,13248,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/ranger_texture.png
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,png,15026,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/rogue_texture.png
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,27180,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/shield_badge.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,27164,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/shield_badge_color.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,28284,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/shield_round.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,28236,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/shield_round_barbarian.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,28236,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/shield_round_color.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,33148,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/shield_spikes.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,33164,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/shield_spikes_color.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,27660,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/shield_square.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,27692,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/shield_square_color.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,27372,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/smokebomb.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,26636,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/spellbook_closed.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,26812,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/spellbook_open.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,32620,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/staff.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,28220,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/sword_1handed.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,31724,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/sword_2handed.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,31756,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/sword_2handed_color.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,23356,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx/wand.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,20300,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/arrow_bow.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,28492,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/arrow_bow_bundle.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,20268,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/arrow_crossbow.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,28476,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/arrow_crossbow_bundle.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,27900,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/axe_1handed.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,37420,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/axe_2handed.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,png,14424,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/barbarian_texture.png
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,31308,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/bow.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,43772,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/bow_withString.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,38604,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/crossbow_1handed.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,46828,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/crossbow_2handed.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,24700,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/dagger.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,png,12914,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/knight_texture.png
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,png,14740,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/mage_texture.png
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,29116,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/mug_empty.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,30476,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/mug_full.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,27852,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/quiver.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,png,13248,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/ranger_texture.png
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,png,15026,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/rogue_texture.png
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,27356,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/shield_badge.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,27324,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/shield_badge_color.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,28332,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/shield_round.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,28300,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/shield_round_barbarian.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,28284,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/shield_round_color.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,33372,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/shield_spikes.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,33388,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/shield_spikes_color.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,27692,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/shield_square.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,27724,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/shield_square_color.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,27356,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/smokebomb.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,27132,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/spellbook_closed.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,27340,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/spellbook_open.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,32508,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/staff.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,28236,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/sword_1handed.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,31820,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/sword_2handed.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,31836,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/sword_2handed_color.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,fbx,23308,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/fbx(unity)/wand.fbx
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,bin,2648,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/arrow_bow.bin
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,gltf,3055,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/arrow_bow.gltf
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,bin,15344,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/arrow_bow_bundle.bin
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,gltf,3084,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/arrow_bow_bundle.gltf
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,bin,2648,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/arrow_crossbow.bin
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,gltf,3071,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/arrow_crossbow.gltf
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,bin,15344,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/arrow_crossbow_bundle.bin
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,gltf,3097,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/arrow_crossbow_bundle.gltf
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,bin,12524,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/axe_1handed.bin
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,gltf,3080,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/axe_1handed.gltf
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,bin,21960,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/axe_2handed.bin
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,gltf,3078,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/axe_2handed.gltf
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,png,14424,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/barbarian_texture.png
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,bin,18344,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/bow.bin
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,gltf,3048,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/bow.gltf
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,bin,49016,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/bow_withString.bin
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,gltf,4326,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/bow_withString.gltf
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,bin,25200,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/crossbow_1handed.bin
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,gltf,3083,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/crossbow_1handed.gltf
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,bin,34896,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/crossbow_2handed.bin
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,gltf,3083,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/crossbow_2handed.gltf
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,bin,7656,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/dagger.bin
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,gltf,3051,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/dagger.gltf
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,png,12914,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/knight_texture.png
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,png,14740,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/mage_texture.png
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,bin,14644,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/mug_empty.bin
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,gltf,3075,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/mug_empty.gltf
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,bin,15772,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/mug_full.bin
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,gltf,3072,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/mug_full.gltf
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,bin,13884,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/quiver.bin
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,gltf,3053,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/quiver.gltf
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,png,13248,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/ranger_texture.png
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,png,15026,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/rogue_texture.png
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,bin,10628,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/shield_badge.bin
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,gltf,3072,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/shield_badge.gltf
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,bin,10500,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/shield_badge_color.bin
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,gltf,3090,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/shield_badge_color.gltf
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,bin,12008,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/shield_round.bin
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,gltf,3075,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/shield_round.gltf
_source,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets,bin,11752,_source/kaykit_adventurers/KayKit_Adventurers_2.0_FREE/Assets/gltf/shield_round_barbarian.bin
